"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Heart Shape Couple Showpiece","https://m.media-amazon.com/images/I/719+zYS4PpL._SL1500_.jpg","Amazon Finds Under 499","","Heart Shape Couple Showpiece with LED Light Frame and Bench Figurines, Decorative Tabletop Display (Hug Couple).","https://onlypresents.store/product/1zqj7f","","couple, for her, for him, home decor, romantic, under 500"
"HindCraft King Queen Coffee Mug Set with Lid","https://m.media-amazon.com/images/I/61fofrPFwYL._SL1024_.jpg","Cute Couple Gifts Ideas","","HindCraft King Queen Coffee Mug Set with Lid Black White Ceramic Couple Mug Combo Royal Tea Coffee Cups for Him Her Gift Set for Couples.","https://onlypresents.store/product/1bex9i","","couple, for her, for him, gift set, mug, premium, romantic"
"Customised LED Photo Lamp","https://m.media-amazon.com/images/I/51TGMkXlH9L.jpg","Valentine Day Gift Ideas","","Customised LED Photo Lamp, Personalised Gift for Her, Him, Couples, Wedding, Anniversary, Valentines Day, Birthday, Design6.","https://onlypresents.store/product/0u7q76","","couple, for her, for him, gift set, home decor, romantic, under 500"
"Eha EarthFriendly Valentine Gifts for Couple","https://m.media-amazon.com/images/I/71XCVtZgSeL._SL1500_.jpg","Valentine Day Gift Ideas","","Eha EarthFriendly Valentine Gifts for Couple Gift for Girlfriend and Boyfriend Love Gift Set of 2 250 ml Made with Rice Husk and Coffee Husk Biocomposite Coffee.","https://onlypresents.store/product/xsgpi0","","couple, for her, for him, gift set, romantic"
"Decorative Couple on Hanging Swing Figurine","https://m.media-amazon.com/images/I/71TytEUx09L._SL1500_.jpg","Amazon Finds Under 499","","Decorative Couple on Hanging Swing Figurine Ceramic Resin Home Decor Black Metal Wire Frame Swing Romantic, Cozy Gift Idea for Home, Wedding, Anniversary, and Gifting.","https://onlypresents.store/product/pjota1","","couple, for her, for him, gift set, home decor, romantic, under 500"
"Couple Keychain Set","https://m.media-amazon.com/images/I/610-1h-KpjL._SX679_.jpg","Amazon Finds Under 499","","Couple Keychain Set Matching Keychains for Couples, Cute Keychains Accessory for Boyfriend Girlfriend and Best Friend, Stylish Durable Keepsake.","https://onlypresents.store/product/lyvh1b","","accessories, couple, for her, for him, gift set, romantic, under 500"
"AICA Personalized Couple Name LED Table Lamp","https://m.media-amazon.com/images/I/61u6qz9voYL._SL1500_.jpg","Amazon Finds Under 499","","AICA Personalized Couple Name LED Table Lamp (Couple Name Infinity) (Couple Forever Lamp).","https://onlypresents.store/product/o0unt6","","couple, for her, for him, home decor, romantic, under 500"
"Customizable Black Leather Mini Photo Album","https://m.media-amazon.com/images/I/81b4txvVVeL._SL1500_.jpg","Amazon Finds Under 499","","Customizable Black Leather Mini Photo Album Keychain with 12 to 24 Photos Gift Idea for Birthdays, Anniversaries, Couples, Mom, Dad or Special Moments.","https://onlypresents.store/product/wph0l5","","accessories, couple, for her, for him, gift set, romantic, under 500"
"Ascension Cute Couple Miniature Figurine","https://m.media-amazon.com/images/I/61jNGD4RguL._SL1500_.jpg","Valentine Day Gift Ideas","","ascension Cute Couple Miniature Figurine Showpiece Gift for Your Love Romantic Valentine Day Gift for Girlfriend Boyfriend Small Cute Baby Couple Showpiece Valentine Gift Miniature Valentines Gifts.","https://onlypresents.store/product/h4omr4","","couple, for her, for him, gift set, home decor, romantic, under 500"
"Amazon Brand JABSY Personalised Couple Name","https://m.media-amazon.com/images/I/71cyXr65PoL._SL1500_.jpg","Amazon Finds Under 499","","Amazon Brand JABSY Personalised Couple Name Unique Photo Frame Wedding Engagement Anniversary Birthday Gift (CCH).","https://onlypresents.store/product/6u3f7h","","couple, for her, for him, gift set, home decor, romantic, under 500"
